City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
332,Portland,US,45.5234,-122.6762,70.95,68,75,5.99,broken clouds
333,Guadalupe Victoria,MX,32.2869,-115.105,107.94,19,17,10.09,few clouds
334,Kodinsk,RU,58.6881,99.1844,57.88,88,100,2.26,overcast clouds
335,Shakawe,BW,-18.3667,21.85,62.67,42,34,4.43,scattered clouds
336,La Mira,MX,18.035,-102.3266,87.03,64,100,7.4,overcast clouds
337,Puerto Escondido,MX,15.85,-97.0667,90.43,58,75,8.05,broken clouds
338,Pryazha,RU,61.6926,33.6216,70.83,74,64,5.5,broken clouds
339,Sudak,UA,44.85,34.9667,72.93,61,57,9.28,broken clouds
340,Maragogi,BR,-9.0122,-35.2225,75.63,83,100,11.52,overcast clouds
341,Mbini,GQ,1.574,9.6134,75.88,79,21,9.44,few clouds
342,Chabahar,IR,25.2919,60.643,83.59,82,66,12.15,broken clouds
343,Westport,US,41.1415,-73.3579,96.37,44,0,11.5,clear sky
344,Jerecuaro,MX,20.15,-100.5167,79.68,32,77,4.45,broken clouds
345,Warah,PK,27.4481,67.7978,92.79,55,100,1.79,overcast clouds
346,Berlevag,NO,70.8578,29.0864,55.2,87,75,12.66,broken clouds
347,San Andres,CO,12.5847,-81.7006,86.02,79,75,8.05,broken clouds
348,Patzun,GT,14.6833,-91.0167,68.58,54,96,3.53,overcast clouds
349,Miram Shah,PK,33.0086,70.0697,82.29,66,20,4.05,few clouds
350,Phan Thiet,VN,10.9333,108.1,76.35,88,100,1.43,overcast clouds
351,Ayan,RU,56.45,138.1667,57.72,91,63,6.46,broken clouds
352,Hellin,ES,38.5106,-1.701,87.53,32,5,13.96,clear sky
353,Lascahobas,HT,18.8294,-71.9364,82.04,47,54,3.24,broken clouds
354,Kidal,ML,18.4411,1.4078,101.71,13,99,7.54,overcast clouds
355,Beringovskiy,RU,63.05,179.3167,49.66,71,100,10.33,overcast clouds
356,Alofi,NU,-19.0595,-169.9187,76.12,77,100,4.76,overcast clouds
357,Macherla,IN,16.4833,79.4333,78.03,85,100,8.97,light rain
358,Soyo,AO,-6.1349,12.3689,69.1,86,100,7.14,overcast clouds
359,Nurota,UZ,40.5614,65.6886,91.85,14,0,9.89,clear sky
360,Pochutla,MX,15.7432,-96.4661,83.82,71,100,6.26,overcast clouds
361,Semenivka,UA,52.1783,32.5818,60.94,90,2,8.05,clear sky
362,Semiletka,RU,55.3603,54.6153,64.18,67,61,3.65,broken clouds
363,Redlands,US,34.0556,-117.1825,105.55,33,0,4.61,haze
364,Lagoa Vermelha,BR,-28.2086,-51.5258,66.83,82,100,4.34,overcast clouds
365,Goderich,CA,43.7501,-81.7165,76.91,69,0,5.5,clear sky
366,Cap Malheureux,MU,-19.9842,57.6142,70.47,73,0,7.0,clear sky
367,Paamiut,GL,61.994,-49.6678,45.5,84,6,6.06,clear sky
368,Anaco,VE,9.4389,-64.4728,94.33,32,8,11.48,clear sky
369,Moose Factory,CA,51.2585,-80.6094,66.18,88,100,6.91,overcast clouds
370,Kalia,BD,23.0396,89.6328,80.94,89,100,4.56,moderate rain
371,Mendi,PG,-6.1761,143.6513,49.98,96,15,3.91,few clouds
372,Cheney,US,47.4874,-117.5758,81.81,35,20,17.27,few clouds
373,Kirakira,SB,-10.4544,161.9205,77.14,84,76,3.87,broken clouds
374,Durango,MX,24.8333,-104.8333,82.06,32,100,9.17,overcast clouds
375,Mitu,CO,1.1983,-70.1733,76.75,95,100,1.48,overcast clouds
376,Sarkand,KZ,45.41,79.9186,75.13,32,6,7.56,clear sky
377,Juegang,CN,32.3174,121.1855,82.9,94,100,7.63,overcast clouds
378,Tura,IN,25.5198,90.2201,75.74,92,100,2.44,overcast clouds
379,Piranshahr,IR,36.701,45.1413,69.17,28,0,6.58,clear sky
380,Mahina,PF,-17.5065,-149.489,80.37,69,20,9.22,light rain
381,Cockburn Town,TC,21.4612,-71.1419,78.42,87,100,20.85,overcast clouds
382,Homnabad,IN,17.7667,77.1333,71.49,96,100,6.96,moderate rain
383,Vaijapur,IN,19.9167,74.7333,74.44,83,100,12.53,overcast clouds
384,Minna,NG,9.6139,6.5569,73.29,96,100,2.91,overcast clouds
385,Okhotsk,RU,59.3833,143.3,56.41,92,99,2.13,overcast clouds
386,Caravelas,BR,-17.7125,-39.2481,75.24,71,1,6.51,clear sky
387,Eenhana,NA,-17.4667,16.3333,64.0,26,0,5.26,clear sky
388,Riyadh,SA,24.6877,46.7219,98.74,13,47,13.96,scattered clouds
389,Loviisa,FI,60.4566,26.2251,68.29,80,1,7.74,clear sky
390,Cherat,PK,33.8233,71.8915,71.53,59,59,3.83,broken clouds
391,Turukhansk,RU,65.8167,87.9833,59.95,77,11,12.46,few clouds
392,Baruun-Urt,MN,46.6806,113.2792,62.28,56,100,6.53,overcast clouds
393,Tonj,SS,7.2737,28.6822,71.89,93,13,3.69,moderate rain
394,La Ronge,CA,55.1001,-105.2842,57.42,71,100,8.05,overcast clouds
395,Privas,FR,44.5833,4.5,88.23,42,91,7.16,overcast clouds
396,Paita,PE,-5.0892,-81.1144,68.95,73,20,13.85,few clouds
397,Camacha,PT,33.0833,-16.3333,69.22,68,75,13.8,broken clouds
398,Ipixuna,BR,-1.7625,-48.8043,91.53,39,85,3.27,overcast clouds
399,Waitati,NZ,-45.75,170.5667,43.81,81,12,5.64,few clouds
400,Povenets,RU,62.8487,34.8262,67.98,70,58,6.82,broken clouds
401,Key West,US,24.5557,-81.7826,93.2,68,0,11.5,clear sky
402,Rovaniemi,FI,66.5,25.7167,67.41,45,0,5.75,clear sky
403,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,70,98,1.61,overcast clouds
404,Qaqortoq,GL,60.7167,-46.0333,51.3,72,26,4.34,scattered clouds
405,Bardiyah,LY,31.7561,25.0865,79.7,58,0,10.67,clear sky
406,Datong,CN,40.0936,113.2914,63.79,64,0,0.34,clear sky
407,Banjar,ID,-8.19,114.9675,74.46,90,96,5.48,overcast clouds
408,Flin Flon,CA,54.7682,-101.865,58.84,72,100,3.44,smoke
409,Porosozero,RU,62.7191,32.727,67.08,73,12,6.26,few clouds
410,Cranbrook,CA,49.4999,-115.7688,80.44,28,75,12.66,broken clouds
411,Riviere-Au-Renard,CA,48.9957,-64.3971,75.49,91,67,9.48,broken clouds
